cik,tic,Shortname,Longname,Sector,Industry,Stock_Change%,Year,Sentiment_Score
1024478.0,ROK,"Rockwell Automation, Inc.","Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,-13.07214049025578,2022,-0.420689195394516
84839.0,ROL,"Rollins, Inc.","Rollins, Inc.",Consumer Cyclical,Personal Services,0.3353183637899493,2022,0.0
745732.0,ROST,"Ross Stores, Inc.","Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,-20.92397481101548,2022,-0.8081502318382263
87347.0,SLB,Schlumberger N.V.,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,44.52535749062394,2022,-0.4285502433776855
89800.0,SHW,Sherwin-Williams Company (The),The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,-10.812879860716752,2022,-0.1045164540410041
91142.0,AOS,A.O. Smith Corporation,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,-9.573879438446545,2022,-0.90285062789917
91419.0,SJM,The J.M. Smucker Company,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,12.999249349102172,2022,-0.7862610220909119
91440.0,SNA,Snap-On Incorporated,Snap-on Incorporated,Industrials,Tools & Accessories,1.7681566801670543,2022,-0.8442158699035645
91576.0,KEY,KeyCorp,KeyCorp,Financial Services,Banks - Regional,-2.634750155437404,2022,-0.3453508019447326
827052.0,EIX,Edison International,Edison International,Utilities,Utilities - Regulated Electric,13.83049102461329,2022,0.0
